City_ID,City,Cloudiness,Country,Current Description,Date,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
391,Rognan,51,NO,broken clouds,2020-06-20 03:20:56,77,67.1,15.39,60.01,0.0,0.0,6.8
392,Grand Baie,89,MU,overcast clouds,2020-06-20 03:20:56,79,-20.02,57.58,70.0,0.0,0.0,8.99
393,Aswan,0,EG,clear sky,2020-06-20 03:20:57,28,24.09,32.91,76.41,0.0,0.0,8.66
394,Amalapuram,20,IN,few clouds,2020-06-20 03:20:57,74,16.58,82.02,87.8,0.0,0.0,16.11
395,Matara,100,LK,overcast clouds,2020-06-20 03:20:57,80,5.95,80.54,82.87,0.0,0.0,11.32
396,Isangel,40,VU,scattered clouds,2020-06-20 03:18:40,69,-19.55,169.27,78.8,0.0,0.0,9.17
397,Tibiri,49,NE,scattered clouds,2020-06-20 03:20:58,52,13.56,7.05,82.85,0.0,0.0,10.02
398,Katherine,40,AU,scattered clouds,2020-06-20 03:20:58,31,-14.47,132.27,89.6,0.0,0.0,14.99
399,Queanbeyan,40,AU,scattered clouds,2020-06-20 03:20:58,59,-35.35,149.23,61.0,0.0,0.0,16.11
400,Husavik,90,IS,overcast clouds,2020-06-20 03:20:58,93,66.04,-17.34,44.6,0.0,0.0,5.82
401,Placido De Castro,21,BR,few clouds,2020-06-20 03:20:59,89,-10.34,-67.19,73.44,0.0,0.0,1.63
402,Malindi,39,KE,scattered clouds,2020-06-20 03:20:59,78,-3.22,40.12,76.93,0.0,0.0,18.5
403,Billings,40,US,shower rain,2020-06-20 03:20:59,55,45.78,-108.5,66.0,0.0,0.0,4.7
404,Khuzhir,81,RU,broken clouds,2020-06-20 03:20:59,69,53.19,107.34,52.45,0.0,0.0,9.62
405,Alyangula,75,AU,broken clouds,2020-06-20 03:21:00,51,-13.85,136.42,84.2,0.0,0.0,11.41
406,Magway,98,MM,overcast clouds,2020-06-20 03:21:00,75,20.15,94.92,82.4,0.0,0.0,16.28
407,Kremnica,75,SK,broken clouds,2020-06-20 03:21:00,100,48.71,18.92,59.0,0.0,0.0,4.09
408,Aksu,38,CN,scattered clouds,2020-06-20 03:21:00,20,41.12,80.26,76.75,0.0,0.0,2.42
409,Alice Town,100,BS,overcast clouds,2020-06-20 03:21:01,81,25.72,-79.3,82.44,0.0,0.0,9.15
410,Rio Gallegos,46,AR,scattered clouds,2020-06-20 03:18:48,80,-51.62,-69.22,33.8,0.0,0.0,8.05
411,San Quintin,0,MX,clear sky,2020-06-20 03:19:35,81,30.48,-115.95,63.05,0.0,0.0,12.1
412,Victor Harbor,12,AU,few clouds,2020-06-20 03:21:01,95,-35.57,138.62,54.0,0.0,0.0,14.97
413,Vanavara,4,RU,clear sky,2020-06-20 03:21:02,35,60.34,102.28,74.23,0.0,0.0,7.74
